,ResponseId,Informed consent,Age,Gender,Continent of residence,Understanding of sustainability,Concerned about wasting resources,Socially responsible person,Prefer sustainability to conveniency,Willingness to make the world a better place,Clothing shopping frequencies,Factors that influence my shopping decisions,Needs and desires,Understanding of ethical fashion,Own sustainable clothing,Well informed on sustainable clothing,Impact of sustainble clothing on the world,Ability to afford sustainable clothing,Intention to buy sustainable clothing within the next 12 months
0,R_1qh77oBvRwPCgpk,Yes,22-39,Other,North America,"Using materials and systems that are renewable, and not screwing over innocent bystanders",TRUE,Mostly true,Neutral,Important,Every 6 months,Will I be able to wear this clothing often?,"More gender-neutral clothing, and more masculine clothing that will fit on a girl body","Not made in sweat shops, not using toxic dyes, using responsibly sourced fibers and recycled materials when possible, preferably made in my country and even community",No,Neutral,Mostly true,Agree,0
1,R_ymvp4AKUGm5FHk5,Yes,Under 22,Male,North America,the retention of resources for the future of humanity,TRUE,TRUE,Mostly true,Important,Yearly,price,,clothes that make fair use of people and resources,Maybe/Not sure,Disagree,Mostly true,Strongly agree,0
2,R_W0bZmH1DoydviF3,Yes,Under 22,Male,North America,Actions that will allow humanity to comfortably inhabit the Earth in both the present and future.,TRUE,Mostly true,Mostly true,Very important,I avoid it at all costs!,quality ,,,Maybe/Not sure,Neutral,Neutral,Agree,0
3,R_6XrWnVSEnWuTyxz,Yes,Under 22,Female,North America,A method of manufacturing that can be done for a long period of time without harming the environment. The materials used to make the product can be replaced quickly and easily without harming the environment.,Mostly true,Mostly not true,Mostly not true,Important,Every 3 months,If I can afford it. I have a very tight budget,"Something that's both sustainable, cute, and affordable. I can't afford to spend $40 to buy a sustainable article of clothing if I can buy one that's not sustainable for $15 or cheaper. The pieces of sustainable clothing that I find that also happens to be affordable also tend to look uglier.","Environmentally friendly, produced in a way that's worker friendly (not in factories where workers sit there for 14 hours a day).",Yes,Disagree,Mostly true,Strongly agree,0
5,R_0xD1z2BDNQaugSd,Yes,22-39,Male,Europe,"Regrowable, Reproduceable, Fair",Mostly true,Mostly true,Mostly true,Important,Monthly,"fair brands, comfortable",everything in one place,"fair trade, no childlabor, organic",Yes,Agree,Mostly true,Disagree,1
6,R_3ee7r42i4kMRL2q,Yes,Under 22,Male,North America,production conscious of environmental and social effects that attempts to minimize harmful ones,TRUE,Mostly true,Neutral,Very important,Monthly,whether or not it fits,Clothing suited for men with wider hips,"Clothing made without sweatshops, from environmentally responsible materials",Maybe/Not sure,Neutral,Mostly true,Strongly agree,0
7,R_2b4bW5cSCycrGTx,Yes,22-39,Female,Europe,"Production using methods that do minimal damage to the environment, people and animals well being.",Mostly true,Mostly true,Mostly true,Important,I avoid it at all costs!,That it's responsibly produced.,Cheaper options for sustainable clothing.,Responsibly produced by reasonably paid employees and made with ethically sourced material.,Maybe/Not sure,Strongly disagree,Neutral,Neutral,1
8,R_3RvUFRUcv9OFIs0,Yes,22-39,Male,North America,A system or term that is able to renew its resources  or recycle waste to near zero waste/emissions. Can be used for environmental usage but can be used for operations or business usages.,TRUE,Mostly true,Mostly true,Important,Every 6 months,"the textile, the general feeling or comfort while wearing",Versatile clothing. e.g Long sleeved button shirts with roll up sleeves for warm/summer environments.,"Manufactured with some recycled materials, low energy, low waste.",Yes,Disagree,Mostly true,Disagree,1
9,R_00pttLkhwshJ5rb,Yes,22-39,Female,North America,Something created or done in a way that helps preserve the Earth's natural resources (i.e. not permanently destructive of nature).,TRUE,Mostly true,Neutral,Very important,I avoid it at all costs!,how comfortable it is,comfortable clothes at a reasonable price,clothing made in ways that are not destructive to the Earth,Maybe/Not sure,Disagree,Mostly true,Agree,0
10,R_1PbCMluMJ2DAmoC,Yes,22-39,Female,Europe,"Renewable energy and resources, ecological efficiency and conscientiousness ",Mostly true,Neutral,Neutral,Very important,Every 3 months,Price,Cheap ethically sourced clothing ,"Made of materials with less environmental impact, not made with child labor or similar practices ",Maybe/Not sure,Neutral,Mostly true,Agree,0
11,R_uaidESCYC17EWsh,Yes,22-39,Male,Europe,Being able to remain useful and productive indefinitely.,Mostly true,Mostly true,Mostly not true,Important,Monthly,Ensuring that the clothing fits,What I'm looking for without needing to go too far out of my way.,"Clothing that is durable enough to last a long time, and isn't made with non-renewable resources.",Maybe/Not sure,Agree,Mostly true,Neutral,0
12,R_21gHrY7yrvsQPTt,Yes,Under 22,Female,North America,Does not harm the Earth ,TRUE,TRUE,TRUE,Very important,Every 3 months,fit and price,Cute things that don't break the bank but don't look like they came from Forever 21,"Clothing from recycled fibers, from ethically sourced materials, or from fair trade sources",Yes,Strongly disagree,TRUE,Strongly agree,1
13,R_2cnf6qlNUF9j5Py,Yes,22-39,Male,Europe,products whose impact is measured and ultimately less harmful to the planet,Mostly true,Mostly true,TRUE,Very important,Every 3 months,quality,"Good, comfortable products of high quality in one place","healthy farming practices, fair wage construction",Yes,Neutral,Mostly true,Disagree,1
14,R_1CsuxTDnZt4taPf,Yes,Under 22,Other,North America,TBH it seems to be marketing nonsense,Mostly true,Not true,Neutral,Neutral,Every 6 months,style,"better fitting ""masculine"" clothing for my ""female"" body",who knows. I buy a lot of secondhand clothing.,Maybe/Not sure,Neutral,Neutral,Strongly agree,0
